variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,184.137,188.952,212.074,174.441,226.477
http,20,235.137,244.927,302.407,200.547,328.923
http_xml,20,252.589,258.312,292.617,233.299,307.256
http_xml_sort,20,266.566,273.212,317.334,255.259,318.122
http_xml_sort_map,20,454.792,463.959,500.840,431.964,549.926
full_result,20,472.235,474.024,505.093,445.804,510.238
