variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,148.876,153.323,183.160,142.681,186.442
http,20,168.135,175.835,197.104,152.573,256.194
http_xml,20,183.435,187.690,206.917,169.966,249.454
http_xml_sort,20,214.654,214.843,235.542,193.268,264.444
http_xml_sort_map,20,240.305,244.847,263.518,229.004,265.408
full_result,20,260.700,263.730,284.041,226.955,350.731
