variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,134.339,136.763,150.845,127.302,157.974
http,20,178.650,183.322,196.785,152.527,273.129
http_xml,20,194.623,202.375,237.873,189.241,305.098
http_xml_sort,20,246.114,251.526,308.026,217.667,313.961
http_xml_sort_map,20,233.741,232.884,251.333,213.870,262.019
full_result,20,252.077,259.394,293.823,231.104,312.948
