variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,154.029,153.831,169.594,140.348,171.173
http,20,179.011,208.907,284.641,155.964,638.927
http_xml,20,221.294,228.282,293.324,189.713,318.130
http_xml_sort,20,208.741,220.372,281.716,191.046,324.976
http_xml_sort_map,20,240.609,261.096,339.066,217.645,464.117
full_result,20,252.657,271.894,305.893,230.214,520.648
