variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,179.090,198.668,343.887,164.481,357.883
http,20,199.185,205.056,225.493,185.884,282.055
http_xml,20,224.564,225.139,246.702,204.186,262.942
http_xml_sort,20,250.725,248.161,272.465,219.532,282.273
http_xml_sort_map,20,444.957,447.899,483.990,414.690,485.117
full_result,20,456.395,472.210,550.085,428.943,604.554
