phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,123.672,123.738,30058
warmup,2,200,53.57,53.609,30058
warmup,3,200,51.623,51.696,30058
warmup,4,200,51.127,51.198,30058
warmup,5,200,53.22,53.259,30058
measured,1,200,60.726,60.79,30058
measured,2,200,59.238,59.305,30058
measured,3,200,69.15,69.22,30058
measured,4,200,63.297,63.371,30058
measured,5,200,79.004,79.086,30058
measured,6,200,82.205,82.302,30058
measured,7,200,62.929,62.997,30058
measured,8,200,52.762,52.835,30058
measured,9,200,45.42,45.484,30058
measured,10,200,44.392,44.446,30058
measured,11,200,45.64,45.687,30058
measured,12,200,43.656,43.719,30058
measured,13,200,41.426,41.477,30058
measured,14,200,41.342,41.4,30058
measured,15,200,41.645,41.7,30058
measured,16,200,56.839,56.89,30058
measured,17,200,40.235,40.284,30058
measured,18,200,40.487,40.539,30058
measured,19,200,40.029,40.074,30058
measured,20,200,39.926,39.963,30058
