label,phase,ordinal,status,total_ms,size,sha256
p1,warmup,1,200,2831.445,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,warmup,2,200,119.751,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,warmup,3,200,101.646,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,warmup,4,200,107.358,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,warmup,5,200,96.701,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,1,200,103.022,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,2,200,95.539,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,3,200,93.619,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,4,200,97.609,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,5,200,98.538,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,6,200,96.597,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,7,200,98.901,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,8,200,98.179,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,9,200,95.093,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,10,200,107.907,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,11,200,95.339,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,12,200,114.255,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,13,200,158.059,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,14,200,124.524,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,15,200,105.521,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,16,200,101.177,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,17,200,113.231,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,18,200,110.431,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,19,200,97.847,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,20,200,106.018,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,21,200,91.859,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,22,200,95.262,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,23,200,91.443,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,24,200,101.963,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,25,200,89.069,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,26,200,87.658,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,27,200,91.032,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,28,200,92.041,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,29,200,99.043,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p1,measured,30,200,114.103,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
