phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,433.869,433.935,30058
warmup,2,200,171.826,171.871,30058
warmup,3,200,170.501,170.555,30058
warmup,4,200,164.569,164.62,30058
warmup,5,200,149.725,149.779,30058
measured,1,200,184.715,184.771,30058
measured,2,200,160.675,160.796,30058
measured,3,200,165.171,165.243,30058
measured,4,200,173.862,173.918,30058
measured,5,200,163.337,163.392,30058
measured,6,200,146.743,146.809,30058
measured,7,200,172.382,172.487,30058
measured,8,200,204.207,204.283,30058
measured,9,200,156.59,156.634,30058
measured,10,200,156.581,156.749,30058
measured,11,200,160.005,160.05,30058
measured,12,200,154.726,154.774,30058
measured,13,200,161.362,161.423,30058
measured,14,200,193.244,193.299,30058
measured,15,200,187.177,187.236,30058
measured,16,200,185.96,186.003,30058
measured,17,200,178.75,178.84,30058
measured,18,200,180.325,180.396,30058
measured,19,200,178.807,178.882,30058
measured,20,200,152.249,152.305,30058
