label,phase,ordinal,status,total_ms,size,sha256
p5,warmup,1,200,57.206,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,warmup,2,200,29.344,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,warmup,3,200,24.861,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,warmup,4,200,22.588,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,warmup,5,200,21.019,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,1,200,20.367,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,2,200,20.453,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,3,200,22.078,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,4,200,20.303,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,5,200,19.702,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,6,200,20.134,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,7,200,21.16,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,8,200,21.15,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,9,200,20.144,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,10,200,19.939,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,11,200,22.171,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,12,200,21.889,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,13,200,19.826,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,14,200,20.26,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,15,200,20.334,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,16,200,20.944,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,17,200,21.706,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,18,200,20.416,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,19,200,19.731,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,20,200,20.594,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,21,200,20.639,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,22,200,20.753,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,23,200,20.156,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,24,200,20.066,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,25,200,19.84,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,26,200,20.175,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,27,200,28.185,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,28,200,33.071,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,29,200,33.233,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p5,measured,30,200,24.53,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
