label,phase,ordinal,status,total_ms,size,sha256
artifact-fast-hit-p4,measured,1,200,1018.085,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
artifact-fast-hit-p4,measured,2,200,41.19,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
artifact-fast-hit-p4,measured,3,200,30.181,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
artifact-fast-hit-p4,measured,4,200,40.018,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
artifact-fast-hit-p4,measured,5,200,37.714,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
