variant,phase,ordinal,wall_ms,status,responseBytes,items,count
empty,warmup,1,148.667,0,0,0,0
empty,warmup,2,136.341,0,0,0,0
empty,warmup,3,132.735,0,0,0,0
empty,warmup,4,147.647,0,0,0,0
empty,warmup,5,135.909,0,0,0,0
empty,measured,1,131.112,0,0,0,0
empty,measured,2,132.285,0,0,0,0
empty,measured,3,157.974,0,0,0,0
empty,measured,4,148.849,0,0,0,0
empty,measured,5,150.845,0,0,0,0
empty,measured,6,134.666,0,0,0,0
empty,measured,7,128.712,0,0,0,0
empty,measured,8,131.95,0,0,0,0
empty,measured,9,134.349,0,0,0,0
empty,measured,10,132.259,0,0,0,0
empty,measured,11,133.69,0,0,0,0
empty,measured,12,135.545,0,0,0,0
empty,measured,13,134.541,0,0,0,0
empty,measured,14,149.128,0,0,0,0
empty,measured,15,133.431,0,0,0,0
empty,measured,16,135.358,0,0,0,0
empty,measured,17,136.749,0,0,0,0
empty,measured,18,127.302,0,0,0,0
empty,measured,19,134.33,0,0,0,0
empty,measured,20,132.178,0,0,0,0
http,warmup,1,186.96,200,46091,0,0
http,warmup,2,235.3,200,46091,0,0
http,warmup,3,248.262,200,46091,0,0
http,warmup,4,186.212,200,46091,0,0
http,warmup,5,176.012,200,46091,0,0
http,measured,1,152.527,200,46091,0,0
http,measured,2,155.09,200,46091,0,0
http,measured,3,177.153,200,46091,0,0
http,measured,4,181.11,200,46091,0,0
http,measured,5,179.189,200,46091,0,0
http,measured,6,196.785,200,46091,0,0
http,measured,7,178.112,200,46091,0,0
http,measured,8,177.578,200,46091,0,0
http,measured,9,180.987,200,46091,0,0
http,measured,10,193.108,200,46091,0,0
http,measured,11,273.129,200,46091,0,0
http,measured,12,195.648,200,46091,0,0
http,measured,13,179.738,200,46091,0,0
http,measured,14,173.699,200,46091,0,0
http,measured,15,178.112,200,46091,0,0
http,measured,16,186.93,200,46091,0,0
http,measured,17,176.715,200,46091,0,0
http,measured,18,175.562,200,46091,0,0
http,measured,19,179.621,200,46091,0,0
http,measured,20,175.653,200,46091,0,0
http_xml,warmup,1,181.176,200,46091,60,60
http_xml,warmup,2,189.458,200,46091,60,60
http_xml,warmup,3,192.451,200,46091,60,60
http_xml,warmup,4,199.875,200,46091,60,60
http_xml,warmup,5,189.802,200,46091,60,60
http_xml,measured,1,192.218,200,46091,60,60
http_xml,measured,2,191.709,200,46091,60,60
http_xml,measured,3,194.743,200,46091,60,60
http_xml,measured,4,190.003,200,46091,60,60
http_xml,measured,5,189.241,200,46091,60,60
http_xml,measured,6,194.211,200,46091,60,60
http_xml,measured,7,191.012,200,46091,60,60
http_xml,measured,8,196.638,200,46091,60,60
http_xml,measured,9,190.184,200,46091,60,60
http_xml,measured,10,200.607,200,46091,60,60
http_xml,measured,11,190.097,200,46091,60,60
http_xml,measured,12,193.66,200,46091,60,60
http_xml,measured,13,200.486,200,46091,60,60
http_xml,measured,14,195.356,200,46091,60,60
http_xml,measured,15,199.497,200,46091,60,60
http_xml,measured,16,194.502,200,46091,60,60
http_xml,measured,17,203.686,200,46091,60,60
http_xml,measured,18,305.098,200,46091,60,60
http_xml,measured,19,237.873,200,46091,60,60
http_xml,measured,20,196.675,200,46091,60,60
http_xml_sort,warmup,1,220.757,200,46091,60,60
http_xml_sort,warmup,2,208.392,200,46091,60,60
http_xml_sort,warmup,3,195.319,200,46091,60,60
http_xml_sort,warmup,4,190.537,200,46091,60,60
http_xml_sort,warmup,5,196.265,200,46091,60,60
http_xml_sort,measured,1,217.667,200,46091,60,60
http_xml_sort,measured,2,227.88,200,46091,60,60
http_xml_sort,measured,3,219.662,200,46091,60,60
http_xml_sort,measured,4,238.775,200,46091,60,60
http_xml_sort,measured,5,221.729,200,46091,60,60
http_xml_sort,measured,6,220.069,200,46091,60,60
http_xml_sort,measured,7,247.893,200,46091,60,60
http_xml_sort,measured,8,236.986,200,46091,60,60
http_xml_sort,measured,9,313.961,200,46091,60,60
http_xml_sort,measured,10,284.153,200,46091,60,60
http_xml_sort,measured,11,308.026,200,46091,60,60
http_xml_sort,measured,12,243.404,200,46091,60,60
http_xml_sort,measured,13,246.98,200,46091,60,60
http_xml_sort,measured,14,245.249,200,46091,60,60
http_xml_sort,measured,15,280.85,200,46091,60,60
http_xml_sort,measured,16,261.226,200,46091,60,60
http_xml_sort,measured,17,252.315,200,46091,60,60
http_xml_sort,measured,18,263.494,200,46091,60,60
http_xml_sort,measured,19,273.95,200,46091,60,60
http_xml_sort,measured,20,226.255,200,46091,60,60
http_xml_sort_map,warmup,1,214.955,200,46091,60,60
http_xml_sort_map,warmup,2,241.16,200,46091,60,60
http_xml_sort_map,warmup,3,275.98,200,46091,60,60
http_xml_sort_map,warmup,4,257.925,200,46091,60,60
http_xml_sort_map,warmup,5,250.854,200,46091,60,60
http_xml_sort_map,measured,1,231.082,200,46091,60,60
http_xml_sort_map,measured,2,236.644,200,46091,60,60
http_xml_sort_map,measured,3,221.769,200,46091,60,60
http_xml_sort_map,measured,4,236.271,200,46091,60,60
http_xml_sort_map,measured,5,238.937,200,46091,60,60
http_xml_sort_map,measured,6,235.07,200,46091,60,60
http_xml_sort_map,measured,7,214.263,200,46091,60,60
http_xml_sort_map,measured,8,218.57,200,46091,60,60
http_xml_sort_map,measured,9,262.019,200,46091,60,60
http_xml_sort_map,measured,10,233.005,200,46091,60,60
http_xml_sort_map,measured,11,223.815,200,46091,60,60
http_xml_sort_map,measured,12,213.87,200,46091,60,60
http_xml_sort_map,measured,13,224.227,200,46091,60,60
http_xml_sort_map,measured,14,251.333,200,46091,60,60
http_xml_sort_map,measured,15,234.477,200,46091,60,60
http_xml_sort_map,measured,16,237.675,200,46091,60,60
http_xml_sort_map,measured,17,235.509,200,46091,60,60
http_xml_sort_map,measured,18,229.386,200,46091,60,60
http_xml_sort_map,measured,19,231.053,200,46091,60,60
http_xml_sort_map,measured,20,248.71,200,46091,60,60
full_result,warmup,1,216.893,200,46091,60,60
full_result,warmup,2,235.032,200,46091,60,60
full_result,warmup,3,251.897,200,46091,60,60
full_result,warmup,4,247.404,200,46091,60,60
full_result,warmup,5,260.701,200,46091,60,60
full_result,measured,1,246.36,200,46091,60,60
full_result,measured,2,246.786,200,46091,60,60
full_result,measured,3,251.368,200,46091,60,60
full_result,measured,4,247.396,200,46091,60,60
full_result,measured,5,250.894,200,46091,60,60
full_result,measured,6,258.75,200,46091,60,60
full_result,measured,7,251.702,200,46091,60,60
full_result,measured,8,254.217,200,46091,60,60
full_result,measured,9,261.487,200,46091,60,60
full_result,measured,10,264.575,200,46091,60,60
full_result,measured,11,252.452,200,46091,60,60
full_result,measured,12,312.948,200,46091,60,60
full_result,measured,13,283.725,200,46091,60,60
full_result,measured,14,246.031,200,46091,60,60
full_result,measured,15,231.104,200,46091,60,60
full_result,measured,16,247.769,200,46091,60,60
full_result,measured,17,234.689,200,46091,60,60
full_result,measured,18,293.823,200,46091,60,60
full_result,measured,19,282.797,200,46091,60,60
full_result,measured,20,268.999,200,46091,60,60
