phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,142.844,142.923,30058
warmup,2,200,70.963,71.036,30058
warmup,3,200,104.153,104.31,30058
warmup,4,200,114.961,115.041,30058
warmup,5,200,71.895,71.954,30058
measured,1,200,70.264,70.319,30058
measured,2,200,71.409,71.461,30058
measured,3,200,67.784,67.832,30058
measured,4,200,80.068,80.154,30058
measured,5,200,76.008,76.092,30058
measured,6,200,66.665,66.719,30058
measured,7,200,63.981,64.053,30058
measured,8,200,57.247,57.3,30058
measured,9,200,62.697,62.755,30058
measured,10,200,65.626,65.703,30058
measured,11,200,68.309,68.356,30058
measured,12,200,59.802,59.86,30058
measured,13,200,59.225,59.275,30058
measured,14,200,58.219,58.275,30058
measured,15,200,60.145,60.202,30058
measured,16,200,61.201,61.255,30058
measured,17,200,68.77,68.824,30058
measured,18,200,60.188,60.248,30058
measured,19,200,114.565,114.648,30058
measured,20,200,64.254,64.311,30058
