variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,216.355,222.268,266.169,174.206,277.356
http,20,229.187,233.919,285.842,193.607,333.840
http_xml,20,228.510,229.117,251.817,200.327,257.721
http_xml_sort,20,303.810,301.768,385.547,220.161,394.136
http_xml_sort_map,20,310.536,318.978,382.240,267.235,464.828
full_result,20,323.275,337.899,403.690,289.972,409.100
