label,phase,ordinal,status,total_ms,size,sha256
core-catalog-p5,measured,1,200,979.617,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
core-catalog-p5,measured,2,200,28.5,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
core-catalog-p5,measured,3,200,24.058,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
core-catalog-p5,measured,4,200,22.123,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
core-catalog-p5,measured,5,200,22.085,7218,c2dd0fd76f9b1ab622c372d0b7639404a36baa41b9a4228edb4cc8d2d07eae57
