phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,198.655,198.748,30058
warmup,2,200,140.933,141.004,30058
warmup,3,200,113.785,113.843,30058
warmup,4,200,122.544,122.598,30058
warmup,5,200,112.384,112.441,30058
measured,1,200,168.008,168.067,30058
measured,2,200,124.064,124.169,30058
measured,3,200,116.639,116.71,30058
measured,4,200,116.057,116.119,30058
measured,5,200,113.532,113.598,30058
measured,6,200,113.326,113.377,30058
measured,7,200,108.428,108.512,30058
measured,8,200,115.269,115.325,30058
measured,9,200,138.397,138.454,30058
measured,10,200,116.131,116.187,30058
measured,11,200,110.753,110.809,30058
measured,12,200,112.118,112.169,30058
measured,13,200,115.116,115.183,30058
measured,14,200,119.124,119.178,30058
measured,15,200,124.56,124.62,30058
measured,16,200,111.173,111.236,30058
measured,17,200,113.711,113.775,30058
measured,18,200,116.8,116.855,30058
measured,19,200,123.504,123.55,30058
measured,20,200,112.343,112.399,30058
