phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,244.515,244.617,30058
warmup,2,200,176.057,176.106,30058
warmup,3,200,181.435,181.486,30058
warmup,4,200,207.616,207.663,30058
warmup,5,200,184.654,184.699,30058
measured,1,200,187.769,187.842,30058
measured,2,200,182.348,182.404,30058
measured,3,200,195.651,195.7,30058
measured,4,200,190.891,190.94,30058
measured,5,200,181.165,181.232,30058
measured,6,200,153.244,153.324,30058
measured,7,200,144.077,144.138,30058
measured,8,200,150.715,150.765,30058
measured,9,200,147.617,147.676,30058
measured,10,200,153.257,153.323,30058
measured,11,200,169.137,169.196,30058
measured,12,200,237.241,237.324,30058
measured,13,200,144.598,144.677,30058
measured,14,200,147.522,147.583,30058
measured,15,200,144.666,144.731,30058
measured,16,200,144.83,144.877,30058
measured,17,200,150.083,150.143,30058
measured,18,200,168.08,168.127,30058
measured,19,200,154.565,154.629,30058
measured,20,200,152.585,152.64,30058
