variant,phase,ordinal,wall_ms,status,responseBytes,items,count
empty,warmup,1,174.707,0,0,0,0
empty,warmup,2,169.064,0,0,0,0
empty,warmup,3,146.179,0,0,0,0
empty,warmup,4,147.003,0,0,0,0
empty,warmup,5,157.029,0,0,0,0
empty,measured,1,151.248,0,0,0,0
empty,measured,2,170.159,0,0,0,0
empty,measured,3,186.442,0,0,0,0
empty,measured,4,183.16,0,0,0,0
empty,measured,5,150.014,0,0,0,0
empty,measured,6,145.034,0,0,0,0
empty,measured,7,158.973,0,0,0,0
empty,measured,8,150.97,0,0,0,0
empty,measured,9,146.352,0,0,0,0
empty,measured,10,148.753,0,0,0,0
empty,measured,11,143.898,0,0,0,0
empty,measured,12,144.066,0,0,0,0
empty,measured,13,156.191,0,0,0,0
empty,measured,14,155.184,0,0,0,0
empty,measured,15,145.385,0,0,0,0
empty,measured,16,147.545,0,0,0,0
empty,measured,17,146.397,0,0,0,0
empty,measured,18,145.011,0,0,0,0
empty,measured,19,142.681,0,0,0,0
empty,measured,20,148.999,0,0,0,0
http,warmup,1,180.359,200,46091,0,0
http,warmup,2,182.977,200,46091,0,0
http,warmup,3,184.529,200,46091,0,0
http,warmup,4,169.865,200,46091,0,0
http,warmup,5,173.123,200,46091,0,0
http,measured,1,197.104,200,46091,0,0
http,measured,2,157.11,200,46091,0,0
http,measured,3,167.503,200,46091,0,0
http,measured,4,188.538,200,46091,0,0
http,measured,5,169.841,200,46091,0,0
http,measured,6,185.374,200,46091,0,0
http,measured,7,164.427,200,46091,0,0
http,measured,8,173.478,200,46091,0,0
http,measured,9,161.617,200,46091,0,0
http,measured,10,158.701,200,46091,0,0
http,measured,11,191.979,200,46091,0,0
http,measured,12,152.573,200,46091,0,0
http,measured,13,160.146,200,46091,0,0
http,measured,14,162.132,200,46091,0,0
http,measured,15,165.506,200,46091,0,0
http,measured,16,188.614,200,46091,0,0
http,measured,17,162.807,200,46091,0,0
http,measured,18,168.766,200,46091,0,0
http,measured,19,184.297,200,46091,0,0
http,measured,20,256.194,200,46091,0,0
http_xml,warmup,1,232.983,200,46091,60,60
http_xml,warmup,2,187.519,200,46091,60,60
http_xml,warmup,3,204.291,200,46091,60,60
http_xml,warmup,4,223.875,200,46091,60,60
http_xml,warmup,5,224.485,200,46091,60,60
http_xml,measured,1,196.742,200,46091,60,60
http_xml,measured,2,183.29,200,46091,60,60
http_xml,measured,3,188.809,200,46091,60,60
http_xml,measured,4,249.454,200,46091,60,60
http_xml,measured,5,198.953,200,46091,60,60
http_xml,measured,6,172.531,200,46091,60,60
http_xml,measured,7,172.428,200,46091,60,60
