variant,phase,ordinal,wall_ms,status,responseBytes,items,count
empty,warmup,1,395.914,0,0,0,0
empty,warmup,2,311.367,0,0,0,0
empty,warmup,3,260.595,0,0,0,0
empty,warmup,4,238.899,0,0,0,0
empty,warmup,5,232.282,0,0,0,0
empty,measured,1,221.106,0,0,0,0
empty,measured,2,213.253,0,0,0,0
empty,measured,3,212.989,0,0,0,0
empty,measured,4,174.206,0,0,0,0
empty,measured,5,212.255,0,0,0,0
empty,measured,6,214.646,0,0,0,0
empty,measured,7,218.064,0,0,0,0
empty,measured,8,185.104,0,0,0,0
empty,measured,9,185.83,0,0,0,0
empty,measured,10,205.665,0,0,0,0
empty,measured,11,191.983,0,0,0,0
empty,measured,12,266.169,0,0,0,0
empty,measured,13,240.059,0,0,0,0
empty,measured,14,209.75,0,0,0,0
empty,measured,15,264.123,0,0,0,0
empty,measured,16,277.356,0,0,0,0
empty,measured,17,244.766,0,0,0,0
empty,measured,18,229.943,0,0,0,0
empty,measured,19,248.565,0,0,0,0
empty,measured,20,229.535,0,0,0,0
http,warmup,1,229.46,200,46091,0,0
http,warmup,2,278.741,200,46091,0,0
http,warmup,3,246.01,200,46091,0,0
http,warmup,4,240.431,200,46091,0,0
http,warmup,5,234.108,200,46091,0,0
http,measured,1,285.842,200,46091,0,0
http,measured,2,333.84,200,46091,0,0
http,measured,3,247.728,200,46091,0,0
http,measured,4,249.533,200,46091,0,0
http,measured,5,233.674,200,46091,0,0
http,measured,6,231.574,200,46091,0,0
http,measured,7,221.178,200,46091,0,0
http,measured,8,193.607,200,46091,0,0
http,measured,9,228.093,200,46091,0,0
http,measured,10,214.289,200,46091,0,0
http,measured,11,199.143,200,46091,0,0
http,measured,12,209.445,200,46091,0,0
http,measured,13,220.851,200,46091,0,0
http,measured,14,256.935,200,46091,0,0
http,measured,15,230.281,200,46091,0,0
http,measured,16,270.316,200,46091,0,0
http,measured,17,220.49,200,46091,0,0
http,measured,18,234.624,200,46091,0,0
http,measured,19,198.265,200,46091,0,0
http,measured,20,198.67,200,46091,0,0
http_xml,warmup,1,271.102,200,46091,60,60
http_xml,warmup,2,248.777,200,46091,60,60
http_xml,warmup,3,268.795,200,46091,60,60
http_xml,warmup,4,263.834,200,46091,60,60
http_xml,warmup,5,277.675,200,46091,60,60
