variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,12,193.337,195.608,202.876,190.938,204.543
http,12,214.557,217.371,228.317,205.923,237.204
http_xml,12,238.290,248.548,279.850,230.845,315.651
http_xml_sort,12,266.446,268.556,288.375,244.749,289.710
http_xml_sort_map,12,509.988,515.481,541.257,484.146,546.401
full_result,12,466.495,467.735,487.048,449.838,491.260
