phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,122.943,123.046,30058
warmup,2,200,54.758,54.834,30058
warmup,3,200,46.07,46.141,30058
warmup,4,200,46.327,46.38,30058
warmup,5,200,46.28,46.347,30058
measured,1,200,61.465,61.543,30058
measured,2,200,58.267,58.351,30058
measured,3,200,48.642,48.712,30058
measured,4,200,64.217,64.292,30058
measured,5,200,66.893,66.962,30058
measured,6,200,48.171,48.234,30058
measured,7,200,51.118,51.178,30058
measured,8,200,61.352,61.747,30058
measured,9,200,55.126,55.218,30058
measured,10,200,46.956,47.022,30058
measured,11,200,50.724,50.778,30058
measured,12,200,51.956,52.02,30058
measured,13,200,62.442,62.517,30058
measured,14,200,45.876,45.936,30058
measured,15,200,44.954,45.0,30058
measured,16,200,44.183,44.248,30058
measured,17,200,45.136,45.193,30058
measured,18,200,44.126,44.186,30058
measured,19,200,44.765,44.807,30058
measured,20,200,44.836,44.897,30058
