variant,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
empty,20,191.583,210.611,277.274,177.076,356.623
http,20,226.223,221.490,239.170,197.195,246.592
http_xml,20,258.796,271.654,332.952,231.476,425.546
http_xml_sort,20,268.612,276.868,356.300,242.510,363.067
http_xml_sort_map,20,502.554,545.383,610.475,456.285,997.432
full_result,20,475.415,508.765,673.142,453.130,877.240
