variant,phase,ordinal,wall_ms,status,responseBytes,items,count
empty,warmup,1,197.845,0,0,0,0
empty,warmup,2,181.321,0,0,0,0
empty,warmup,3,203.285,0,0,0,0
empty,warmup,4,176.183,0,0,0,0
empty,warmup,5,187.018,0,0,0,0
empty,measured,1,192.051,0,0,0,0
empty,measured,2,174.441,0,0,0,0
empty,measured,3,179.838,0,0,0,0
empty,measured,4,176.686,0,0,0,0
empty,measured,5,212.074,0,0,0,0
empty,measured,6,186.526,0,0,0,0
empty,measured,7,182.355,0,0,0,0
empty,measured,8,175.383,0,0,0,0
empty,measured,9,203.135,0,0,0,0
empty,measured,10,182.326,0,0,0,0
empty,measured,11,195.892,0,0,0,0
empty,measured,12,176.608,0,0,0,0
empty,measured,13,185.92,0,0,0,0
empty,measured,14,178.752,0,0,0,0
empty,measured,15,203.3,0,0,0,0
empty,measured,16,189.3,0,0,0,0
empty,measured,17,180.69,0,0,0,0
empty,measured,18,177.23,0,0,0,0
empty,measured,19,200.049,0,0,0,0
empty,measured,20,226.477,0,0,0,0
http,warmup,1,220.47,200,46091,0,0
http,warmup,2,270.923,200,46091,0,0
http,warmup,3,234.42,200,46091,0,0
http,warmup,4,280.538,200,46091,0,0
http,warmup,5,235.291,200,46091,0,0
http,measured,1,223.112,200,46091,0,0
http,measured,2,234.74,200,46091,0,0
http,measured,3,274.859,200,46091,0,0
http,measured,4,256.774,200,46091,0,0
http,measured,5,267.391,200,46091,0,0
http,measured,6,328.923,200,46091,0,0
http,measured,7,302.407,200,46091,0,0
http,measured,8,239.37,200,46091,0,0
http,measured,9,235.535,200,46091,0,0
http,measured,10,220.28,200,46091,0,0
http,measured,11,227.647,200,46091,0,0
http,measured,12,253.169,200,46091,0,0
http,measured,13,250.007,200,46091,0,0
http,measured,14,245.069,200,46091,0,0
http,measured,15,226.245,200,46091,0,0
http,measured,16,229.866,200,46091,0,0
http,measured,17,233.032,200,46091,0,0
http,measured,18,228.635,200,46091,0,0
http,measured,19,220.937,200,46091,0,0
http,measured,20,200.547,200,46091,0,0
http_xml,warmup,1,418.699,200,46091,60,60
http_xml,warmup,2,241.374,200,46091,60,60
http_xml,warmup,3,260.057,200,46091,60,60
http_xml,warmup,4,261.757,200,46091,60,60
http_xml,warmup,5,282.475,200,46091,60,60
http_xml,measured,1,307.256,200,46091,60,60
http_xml,measured,2,286.538,200,46091,60,60
http_xml,measured,3,257.267,200,46091,60,60
http_xml,measured,4,241.76,200,46091,60,60
http_xml,measured,5,253.356,200,46091,60,60
http_xml,measured,6,243.575,200,46091,60,60
http_xml,measured,7,247.297,200,46091,60,60
http_xml,measured,8,242.776,200,46091,60,60
