label,phase,ordinal,status,total_ms,size,sha256
p4,warmup,1,200,2349.499,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,warmup,2,200,36.858,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,warmup,3,200,30.351,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,warmup,4,200,33.739,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,warmup,5,200,29.454,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,1,200,28.636,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,2,200,28.459,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,3,200,26.459,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,4,200,36.063,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,5,200,48.828,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,6,200,39.467,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,7,200,36.619,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,8,200,29.419,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,9,200,27.793,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,10,200,36.094,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,11,200,31.342,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,12,200,42.323,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,13,200,31.365,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,14,200,44.801,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,15,200,31.464,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,16,200,37.038,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,17,200,37.919,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,18,200,38.685,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,19,200,29.558,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,20,200,30.681,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,21,200,25.676,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,22,200,21.805,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,23,200,29.704,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,24,200,22.314,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,25,200,22.488,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,26,200,22.883,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,27,200,23.121,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,28,200,21.782,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,29,200,22.603,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
p4,measured,30,200,22.058,30058,e8b71f7f84e8107d5908c19761b72908f38d79ddc4e63bf5f2e743979429e4aa
