phase,ordinal,http_code,ttfb_ms,total_ms,size_download
warmup,1,200,147.007,147.091,30058
warmup,2,200,47.448,47.52,30058
warmup,3,200,58.284,58.354,30058
warmup,4,200,46.577,46.639,30058
warmup,5,200,43.85,43.905,30058
measured,1,200,67.126,67.267,30058
measured,2,200,70.101,70.189,30058
measured,3,200,86.391,86.485,30058
measured,4,200,57.402,57.497,30058
measured,5,200,54.086,54.171,30058
measured,6,200,53.635,53.719,30058
measured,7,200,53.269,53.337,30058
measured,8,200,60.249,60.303,30058
measured,9,200,54.456,54.532,30058
measured,10,200,56.453,56.518,30058
measured,11,200,51.197,51.275,30058
measured,12,200,49.065,49.116,30058
measured,13,200,45.995,46.049,30058
measured,14,200,49.113,49.163,30058
measured,15,200,51.511,51.57,30058
measured,16,200,61.977,62.041,30058
measured,17,200,46.266,46.344,30058
measured,18,200,48.168,48.223,30058
measured,19,200,46.339,46.384,30058
measured,20,200,73.163,73.219,30058
