target,metric,count,median_ms,mean_ms,p95_ms,min_ms,max_ms
flow,connect,12,36.0,84.5,228.4,33.7,229.5
flow,tls,12,84.2,138.2,278.4,62.1,345.3
flow,ttfb,12,916.0,861.0,1138.0,419.7,1700.5
flow,total,12,916.3,861.3,1138.1,419.9,1700.8
flow,server_after_tls,12,779.7,722.8,1055.3,336.8,1355.2
legacy,connect,12,35.7,54.9,38.7,33.4,266.6
legacy,tls,12,84.6,102.1,95.5,64.1,320.7
legacy,ttfb,12,465.5,504.7,651.6,281.3,1031.1
legacy,total,12,465.7,504.9,651.9,281.6,1031.4
legacy,server_after_tls,12,352.0,402.5,549.8,196.4,948.8
